City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness,Wind Speed (MPH),Country,Date
nikolskoye,59.7035,30.7861,10.99,79,75,13.42,RU,1612630830
chitipa,-9.7024,33.2697,68.04,91,99,2.53,MW,1612630831
placido de castro,-10.3353,-67.1856,77.76,82,99,2.98,BR,1612630831
naze,28.3667,129.4833,61.47,82,98,7.16,JP,1612630832
kota bahru,6.1333,102.2386,77.0,83,20,5.75,MY,1612630832
srednekolymsk,67.45,153.6833,-21.17,84,6,2.77,RU,1612630833
lebu,-37.6167,-73.65,62.8,77,87,6.15,CL,1612630834
cape town,-33.9258,18.4232,73.4,68,20,19.57,ZA,1612630756
busselton,-33.65,115.3333,59.0,95,100,1.99,AU,1612630835
yellowknife,62.456,-114.3525,-41.01,65,1,4.34,CA,1612630835
waitati,-45.75,170.5667,57.99,79,7,14.0,NZ,1612630836
bukan,36.521,46.2089,45.3,80,100,0.81,IR,1612630566
itoman,26.1247,127.6694,68.0,88,40,1.14,JP,1612630597
saldanha,-33.0117,17.9442,75.2,64,20,18.41,ZA,1612630837
ushuaia,-54.8,-68.3,51.8,50,20,18.41,AR,1612630838
zabaykalsk,49.6333,117.3167,-11.22,85,0,6.78,RU,1612630838
saint-philippe,-21.3585,55.7679,82.4,74,90,4.61,RE,1612630839
atuona,-9.8,-139.0333,80.17,77,57,22.41,PF,1612630840
lucapa,-8.4192,20.7447,69.55,96,100,4.65,AO,1612630841
upernavik,72.7868,-56.1549,20.59,81,100,6.51,GL,1612630580
kapaa,22.0752,-159.319,60.01,82,40,8.05,US,1612630842
castro,-24.7911,-50.0119,76.26,50,0,7.45,BR,1612630842
nantucket,41.2835,-70.0995,39.99,56,1,17.27,US,1612630545
tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,16.11,CA,1612630843
albany,42.6001,-73.9662,36.0,36,80,1.99,US,1612630610
emerald,-23.5333,148.1667,84.2,65,100,8.05,AU,1612630844
punta arenas,-53.15,-70.9167,57.2,41,20,19.57,CL,1612630844
ribeira grande,38.5167,-28.7,60.8,88,75,24.16,PT,1612630845
cairns,-16.9167,145.7667,78.8,89,40,8.05,AU,1612630824
humberto de campos,-2.5983,-43.4611,89.96,52,96,10.67,BR,1612630846
butaritari,3.0707,172.7902,80.87,81,93,21.94,KI,1612630846
atlantic city,39.3643,-74.4229,46.99,34,1,19.57,US,1612630843
port lincoln,-34.7333,135.8667,60.62,82,78,13.58,AU,1612630847
save,8.0425,2.486,101.39,16,76,2.46,BJ,1612630848
rapid valley,44.0625,-103.1463,3.0,78,75,4.61,US,1612630848
suntar,62.1444,117.6319,-22.9,87,90,2.8,RU,1612630703
kloulklubed,7.0419,134.2556,78.8,94,75,8.05,PW,1612630849
thompson,55.7435,-97.8558,-34.6,67,75,9.22,CA,1612630849
te anau,-45.4167,167.7167,52.21,85,26,1.01,NZ,1612630850
hobart,-42.8794,147.3294,57.99,82,12,6.91,AU,1612630823
kinablangan,7.6947,126.5503,78.01,81,97,8.48,PH,1612630851
east london,-33.0153,27.9116,77.0,88,75,6.91,ZA,1612630851
tahoua,14.8888,5.2692,87.8,7,78,6.91,NE,1612630852
champerico,14.3,-91.9167,86.0,39,0,4.61,GT,1612630852
dicabisagan,17.0818,122.4157,75.6,88,87,5.28,PH,1612630853
okha,53.5739,142.9478,-0.42,92,100,15.59,RU,1612630853
cockburn town,21.4612,-71.1419,82.4,65,40,18.41,TC,1612630854
kodarma,24.4667,85.6,55.96,82,19,3.13,IN,1612630855
sungai besar,3.6746,100.9867,82.4,83,40,2.3,MY,1612630855
shimoda,34.6667,138.95,51.03,59,0,14.27,JP,1612630856
tomatlan,19.9333,-105.25,85.12,46,80,2.51,MX,1612630856
constitucion,-35.3333,-72.4167,65.08,71,84,4.18,CL,1612630857
mayumba,-3.432,10.6554,80.78,79,75,5.84,GA,1612630857
gimli,50.6336,-96.9907,-20.2,63,99,14.97,CA,1612630858
vryburg,-26.9566,24.7284,72.46,71,81,9.33,ZA,1612630858
rikitea,-23.1203,-134.9692,77.47,75,100,13.15,PF,1612630859
eirunepe,-6.6603,-69.8736,93.0,50,95,1.66,BR,1612630859
nevsehir,38.9167,34.6667,46.4,57,0,5.75,TR,1612630860
lagoa,39.05,-27.9833,59.61,90,100,20.94,PT,1612630860
mount isa,-20.7333,139.5,73.4,100,40,6.91,AU,1612630861
half moon bay,37.4636,-122.4286,54.0,100,1,3.44,US,1612630862
mataura,-46.1927,168.8643,48.85,95,2,0.56,NZ,1612630863
alihe,50.5667,123.7167,-11.79,85,13,3.04,CN,1612630863
vaini,-21.2,-175.2,73.4,100,90,11.5,TO,1612630864
dalvik,65.9702,-18.5286,32.0,64,20,9.22,IS,1612630665
tonbridge,51.1924,0.2753,45.0,96,100,3.0,GB,1612630865
hilo,19.7297,-155.09,60.8,67,1,6.91,US,1612630716
iqaluit,63.7506,-68.5145,23.0,86,75,19.57,CA,1612630612
karema,-6.8205,30.4389,75.96,76,66,7.09,TZ,1612630866
barrow,71.2906,-156.7887,-0.4,71,90,10.36,US,1612630583
tessalit,20.1986,1.0114,88.07,11,99,13.51,ML,1612630866
whitehorse,60.7161,-135.0538,-15.0,76,20,3.44,CA,1612630867
kiama,-34.6833,150.8667,64.99,81,0,3.0,AU,1612630867
vardo,70.3705,31.1107,23.0,74,40,18.41,NO,1612630670
opotiki,-38.0833,177.2833,54.0,89,91,6.98,NZ,1612630868
boa vista,2.8197,-60.6733,87.8,48,75,14.97,BR,1612630868
poum,-20.2333,164.0167,79.84,67,13,2.84,NC,1612630869
petropavlovsk-kamchatskiy,53.0452,158.6483,23.0,63,100,22.37,RU,1612630869
alofi,-19.0595,-169.9187,77.0,88,100,6.91,NU,1612630869
ahipara,-35.1667,173.1667,58.5,87,84,4.05,NZ,1612630870
caravelas,-17.7125,-39.2481,83.12,79,93,10.78,BR,1612630871
harwich,51.9419,1.2844,43.0,91,100,11.99,GB,1612630871
jamestown,42.097,-79.2353,19.99,62,1,21.85,US,1612630871
hasaki,35.7333,140.8333,41.0,81,20,8.05,JP,1612630872
clyde river,70.4692,-68.5914,-14.8,84,40,2.3,CA,1612630872
mbandaka,0.0487,18.2603,80.8,65,87,0.74,CD,1612630872
rapid city,44.0805,-103.231,3.0,78,75,4.61,US,1612630873
chuy,-33.6971,-53.4616,81.66,48,0,10.11,UY,1612630873
souillac,-20.5167,57.5167,78.8,83,20,5.75,MU,1612630873
hithadhoo,-0.6,73.0833,82.02,76,100,15.1,MV,1612630874
nakhon phanom,17.3333,104.4167,63.91,82,0,6.69,TH,1612630874
arraial do cabo,-22.9661,-42.0278,77.0,73,75,2.3,BR,1612630807
reconquista,-29.15,-59.65,88.12,27,0,6.91,AR,1612630875
issoire,45.55,3.25,57.2,58,90,21.85,FR,1612630875
mogadishu,2.0371,45.3438,77.45,78,0,19.48,SO,1612630875
tra vinh,9.9347,106.3453,75.49,76,61,7.65,VN,1612630876
nabire,-3.3667,135.4833,75.61,85,100,4.07,ID,1612630876
puri,19.8,85.85,71.6,68,20,9.01,IN,1612630876
kruisfontein,-34.0033,24.7314,73.0,80,0,1.99,ZA,1612630877
kijang,35.2442,129.2139,37.4,87,1,3.44,KR,1612630877
ziarat,30.3823,67.7282,42.71,50,12,3.49,PK,1612630878
bluff,-46.6,168.3333,53.92,85,19,3.31,NZ,1612630878
dudinka,69.4058,86.1778,-30.28,81,0,10.11,RU,1612630878
aklavik,68.2191,-135.0107,-27.4,68,20,2.3,CA,1612630879
ponta do sol,32.6667,-17.1,60.01,60,47,1.01,PT,1612630879
dikson,73.5069,80.5464,-29.22,86,43,9.75,RU,1612630879
new norfolk,-42.7826,147.0587,57.99,75,12,1.01,AU,1612630880
tiksi,71.6872,128.8694,-25.64,85,100,6.67,RU,1612630880
kaihua,23.3687,104.28,56.3,89,65,6.42,CN,1612630880
karratha,-20.7377,116.8463,78.58,76,16,11.12,AU,1612630881
rio grande,-32.035,-52.0986,80.01,61,20,5.75,BR,1612630825
marawi,7.9986,124.2928,75.0,91,99,5.01,PH,1612630881
kharan,28.5833,65.4167,55.62,27,0,2.8,PK,1612630882
hermanus,-34.4187,19.2345,71.01,87,20,1.99,ZA,1612630840
severodvinsk,64.5635,39.8302,6.8,78,40,6.71,RU,1612630882
honiara,-9.4333,159.95,78.22,85,100,7.43,SB,1612630883
ventspils,57.3894,21.5606,10.4,92,75,2.3,LV,1612630883
the pas,53.8251,-101.2541,-29.2,68,1,13.8,CA,1612630883
narsaq,60.9167,-46.05,33.8,25,1,24.16,GL,1612630884
shenandoah,30.4013,-91.0009,50.0,93,99,1.01,US,1612630585
avarua,-21.2078,-159.775,75.2,94,20,2.3,CK,1612630884
kaitangata,-46.2817,169.8464,50.04,93,3,2.93,NZ,1612630885
yelizovo,53.1873,158.3805,23.0,63,100,22.37,RU,1612630885
bathsheba,13.2167,-59.5167,84.2,54,40,21.85,BB,1612630886
port alfred,-33.5906,26.891,75.0,89,18,3.0,ZA,1612630886
san patricio,28.017,-97.5169,64.4,82,90,9.22,US,1612630887
balagansk,54.0103,103.0544,3.34,91,100,4.23,RU,1612630887
roald,62.5833,6.1333,21.0,68,0,1.14,NO,1612630887
pisco,-13.7,-76.2167,75.0,83,75,9.22,PE,1612630887
glenwood springs,39.5505,-107.3248,27.0,87,72,4.52,US,1612630860
uhlove,44.8215,33.6045,44.01,72,99,5.93,UA,1612630888
la romana,18.4273,-68.9728,84.2,74,40,9.22,DO,1612630888
storozhevaya,43.8789,41.4514,34.36,86,100,2.73,RU,1612630889
rio gallegos,-51.6226,-69.2181,60.8,31,40,14.97,AR,1612630889
bahia blanca,-38.7196,-62.2724,85.93,37,0,12.84,AR,1612630850
lethem,3.3803,-59.7968,92.1,40,73,11.86,GY,1612630890
kodiak,57.79,-152.4072,24.8,68,1,9.55,US,1612630890
edd,13.9297,41.6925,75.0,71,37,16.69,ER,1612630891
luanda,-8.8368,13.2343,84.2,70,20,10.36,AO,1612630707
state college,40.7934,-77.86,32.0,50,1,26.46,US,1612630647
taquarituba,-23.5331,-49.2444,83.23,47,6,2.21,BR,1612630892
pevek,69.7008,170.3133,-1.64,86,100,2.24,RU,1612630892
kargasok,59.0556,80.8572,33.84,97,100,12.15,RU,1612630893
erzin,36.9559,36.2,62.01,84,0,1.7,TR,1612630893
manono,-7.3,27.4167,74.25,89,100,3.31,CD,1612630893
laguna,38.421,-121.4238,46.4,87,1,2.3,US,1612630894
ulcinj,41.9294,19.2244,57.2,76,20,1.14,ME,1612630690
nanortalik,60.1432,-45.2371,24.37,79,0,4.81,GL,1612630894
conceicao do araguaia,-8.2578,-49.2647,82.71,80,92,6.76,BR,1612630894
sao felix do xingu,-6.6447,-51.995,81.46,75,100,1.9,BR,1612630895
carnarvon,-24.8667,113.6333,80.6,100,40,11.5,AU,1612630895
puerto ayora,-0.7393,-90.3518,82.4,74,40,9.22,EC,1612630895
tasiilaq,65.6145,-37.6368,32.0,100,75,42.57,GL,1612630896
luau,-10.7073,22.2247,69.98,92,100,5.86,AO,1612630896
chokurdakh,70.6333,147.9167,-18.65,87,97,4.85,RU,1612630897
coihaique,-45.5752,-72.0662,68.0,45,0,9.22,CL,1612630897
san lawrenz,36.0553,14.204,62.6,67,0,6.91,MT,1612630897
cidreira,-30.1811,-50.2056,75.94,62,56,10.4,BR,1612630898
gumdag,39.2061,54.5906,50.18,74,77,2.3,TM,1612630898
la baule-escoublac,47.2922,-2.364,48.2,66,75,9.22,FR,1612630899
santa maria,-29.6842,-53.8069,75.2,57,20,4.61,BR,1612630629
zhigansk,66.7697,123.3711,-41.46,80,45,10.45,RU,1612630899
georgetown,5.4112,100.3354,84.2,74,20,5.75,MY,1612630817
kayseri,38.737,35.4968,42.8,61,0,1.14,TR,1612630900
dhidhdhoo,6.8833,73.1,81.91,76,63,11.21,MV,1612630900
capaci,38.1711,13.2393,75.2,22,0,13.8,IT,1612630900
cabo san lucas,22.8909,-109.9124,73.0,72,1,3.44,MX,1612630802
safford,32.834,-109.7076,54.0,37,1,2.68,US,1612630901
khatanga,71.9667,102.5,-36.74,77,0,5.86,RU,1612630901
jalu,29.0331,21.5482,66.58,30,55,8.43,LY,1612630902
fare,-16.7,-151.0167,81.61,69,6,10.6,PF,1612630902
oriximina,-1.7656,-55.8661,94.98,40,28,4.23,BR,1612630902
victoria,22.2855,114.1577,66.99,68,0,3.98,HK,1612630854
cayenne,4.9333,-52.3333,78.8,94,75,5.75,GF,1612630903
corum,40.5,34.75,45.75,58,0,2.57,TR,1612630903
huarmey,-10.0681,-78.1522,75.9,64,86,9.71,PE,1612630903
claremore,36.3126,-95.6161,48.99,46,90,4.61,US,1612630904
praia da vitoria,38.7333,-27.0667,64.4,77,40,11.68,PT,1612630904
provideniya,64.3833,-173.3,2.08,92,71,4.09,RU,1612630904
qaanaaq,77.484,-69.3632,11.07,88,100,7.56,GL,1612630905
kutum,14.2,24.6667,60.78,28,0,10.33,SD,1612630741
berlevag,70.8578,29.0864,26.55,93,100,23.44,NO,1612630906
grand gaube,-20.0064,57.6608,80.01,77,39,3.0,MU,1612630906
leningradskiy,69.3833,178.4167,-13.34,79,74,6.46,RU,1612630907
dehloran,32.6941,47.2679,58.39,69,100,12.62,IR,1612630864
krutinka,56.0055,71.5113,33.57,95,100,20.18,RU,1612630907
lorengau,-2.0226,147.2712,81.55,79,49,5.55,PG,1612630908
codrington,-38.2667,141.9667,58.3,79,91,15.03,AU,1612630908
severo-kurilsk,50.6789,156.125,20.12,94,100,16.04,RU,1612630859
abha,18.2164,42.5053,55.4,76,40,11.5,SA,1612630909
puerto el triunfo,13.2833,-88.55,89.6,61,0,6.91,SV,1612630909
mariel,22.9875,-82.7536,80.6,74,20,10.36,CU,1612630909
tacna,-18.0056,-70.2483,78.8,50,0,8.05,PE,1612630746
sisimiut,66.9395,-53.6735,20.21,76,0,14.99,GL,1612630910
grand-santi,4.25,-54.3833,80.64,90,86,4.79,GF,1612630910
norman wells,65.282,-126.8329,-34.6,67,40,4.61,CA,1612630910
trairi,-3.2778,-39.2689,88.05,55,42,13.27,BR,1612630911
camacha,33.0833,-16.3333,60.8,59,40,19.57,PT,1612630911
antofagasta,-23.65,-70.4,73.99,60,0,13.8,CL,1612630897
price,39.5994,-110.8107,33.8,47,1,3.44,US,1612630912
comodoro rivadavia,-45.8667,-67.5,60.8,67,75,20.71,AR,1612630802
beringovskiy,63.05,179.3167,-9.11,88,1,7.0,RU,1612630912
vila franca do campo,37.7167,-25.4333,59.0,88,40,17.27,PT,1612630912
kemijarvi,66.7131,27.4306,15.33,95,60,9.35,FI,1612630913
hamilton,39.1834,-84.5333,30.2,40,1,4.16,US,1612630913
namibe,-15.1961,12.1522,74.3,74,28,11.21,AO,1612630913
horodniceni,47.5333,26.1667,26.01,93,90,4.61,RO,1612630914
sosua,19.7667,-70.5167,84.2,70,20,13.8,DO,1612630914
kinwat,19.6333,78.2,69.24,32,3,1.86,IN,1612630914
hervey bay,-25.2986,152.8535,75.0,81,100,1.01,AU,1612630915
padrauna,26.9025,83.9819,56.57,63,0,5.88,IN,1612630915
flagstaff,35.1981,-111.6513,39.99,38,1,5.75,US,1612630877
tilichiki,60.4667,166.1,6.42,92,100,13.85,RU,1612630916
basirhat,22.6685,88.8697,66.2,63,20,3.44,IN,1612630916
soyo,-6.1349,12.3689,81.88,82,77,12.53,AO,1612630916
saint george,37.1041,-113.5841,48.99,49,1,3.44,US,1612630816
mosetse,-20.75,26.65,79.45,60,35,5.79,BW,1612630917
victor harbor,-35.5667,138.6167,60.01,98,100,3.0,AU,1612630917
camopi,3.1655,-52.3158,73.74,96,97,3.62,GF,1612630917
vao,-22.6667,167.4833,77.2,87,1,8.08,NC,1612630918
bredasdorp,-34.5322,20.0403,75.2,60,12,17.27,ZA,1612630918
labuhan,-6.8844,112.2051,78.64,85,74,11.41,ID,1612630919
kirkenaer,60.4564,12.0582,15.01,85,0,4.61,NO,1612630919
vilcun,-38.65,-72.2333,62.6,82,90,2.3,CL,1612630919
am timan,11.0297,20.2827,80.6,16,34,6.71,TD,1612630920
torbay,47.6666,-52.7314,37.99,80,90,5.75,CA,1612630920
tsumeb,-19.2333,17.7167,80.24,56,86,7.16,NA,1612630920
inhambane,-23.865,35.3833,86.0,70,40,9.22,MZ,1612630921
touros,-5.1989,-35.4608,89.6,45,40,14.97,BR,1612630921
cherskiy,68.75,161.3,-9.9,81,0,7.09,RU,1612630921
senneterre,48.3835,-77.2328,15.8,79,90,10.36,CA,1612630922
paita,-5.0892,-81.1144,78.98,60,53,9.1,PE,1612630922
guerrero negro,27.9769,-114.0611,63.12,64,0,6.51,MX,1612630922
altamira,-3.2033,-52.2064,89.6,62,40,8.05,BR,1612630923
salalah,17.0151,54.0924,75.2,69,40,8.05,OM,1612630923
manta,-0.95,-80.7333,82.4,74,75,4.61,EC,1612630807
bambous virieux,-20.3428,57.7575,80.01,83,20,5.75,MU,1612630924
astana,51.1801,71.446,30.2,80,0,26.84,KZ,1612630844
pangody,65.85,74.4859,-21.14,87,98,11.95,RU,1612630924
marondera,-18.1853,31.5519,65.37,87,78,4.99,ZW,1612630925
juodupe,56.0833,25.6167,5.4,95,75,4.18,LT,1612630925
burnie,-41.0667,145.9167,61.0,85,78,5.01,AU,1612630697
moose factory,51.2585,-80.6094,3.2,66,90,16.11,CA,1612630925
hovd,48.0056,91.6419,10.9,90,87,2.06,MN,1612630926
batemans bay,-35.7167,150.1833,64.0,91,0,3.27,AU,1612630926
usinsk,65.9939,57.5281,-30.57,83,19,13.65,RU,1612630926
faanui,-16.4833,-151.75,81.48,69,0,10.04,PF,1612630927
port blair,11.6667,92.75,78.98,76,0,7.99,IN,1612630927
sorong,-0.8833,131.25,80.78,79,100,1.16,ID,1612630927
richards bay,-28.783,32.0377,76.53,78,26,9.35,ZA,1612630928
sokoto,13.0609,5.239,90.52,12,70,9.22,NG,1612630928
itupiranga,-5.1347,-49.3267,91.4,49,75,6.91,BR,1612630928
husavik,66.0449,-17.3389,32.0,64,20,9.22,IS,1612630630
setermoen,68.861,18.3486,23.0,86,75,9.22,NO,1612630929
port arthur,38.8,121.2667,30.2,69,0,11.18,CN,1612630929
waingapu,-9.6567,120.2641,78.17,80,100,6.2,ID,1612630929
isangel,-19.55,169.2667,77.56,80,0,3.29,VU,1612630930
geraldton,-28.7667,114.6,69.8,94,90,21.85,AU,1612630930
westport,41.1415,-73.3579,39.99,60,1,11.5,US,1612630806
ossora,59.2353,163.0719,16.74,93,100,22.44,RU,1612630931
okhotsk,59.3833,143.3,2.26,90,100,8.72,RU,1612630931
hofn,64.2539,-15.2082,35.44,84,100,18.16,IS,1612630931
christchurch,-43.5333,172.6333,60.01,82,90,6.91,NZ,1612630745
shihezi,44.3,86.0333,14.38,92,47,0.43,CN,1612630932
asilah,35.465,-6.0348,59.0,77,75,17.27,MA,1612630932
voznesenye,61.0106,35.4781,5.45,94,100,9.28,RU,1612630933
buraydah,26.326,43.975,53.6,100,75,5.75,SA,1612630933
port hawkesbury,45.6169,-61.3485,46.99,76,1,16.11,CA,1612630834
tautira,-17.7333,-149.15,77.0,83,75,13.8,PF,1612630934
esperance,-33.8667,121.9,59.0,88,90,11.5,AU,1612630934
port elizabeth,-33.918,25.5701,73.4,83,75,14.97,ZA,1612630934
mar del plata,-38.0023,-57.5575,69.8,64,75,14.97,AR,1612630784
teya,60.3778,92.6267,15.75,93,100,10.47,RU,1612630935
san quintin,30.4833,-115.95,60.1,67,0,2.62,MX,1612630936
cabedelo,-6.9811,-34.8339,87.8,58,75,12.66,BR,1612630936
neuquen,-38.9516,-68.0591,77.0,47,0,9.22,AR,1612630766
abnub,27.2696,31.1511,66.2,59,0,10.36,EG,1612630819
ocampo,21.65,-101.5,65.98,26,49,17.78,MX,1612630937
iquique,-20.2208,-70.1431,77.0,50,0,16.11,CL,1612630915
kerman,30.2832,57.0788,57.2,9,0,2.66,IR,1612630938
saint-joseph,-21.3667,55.6167,82.4,74,90,4.61,RE,1612630938
ipixuna,-1.7625,-48.8043,82.4,83,75,8.05,BR,1612630938
boyabat,41.4689,34.7667,51.8,51,0,2.59,TR,1612630938
fortuna,40.5982,-124.1573,46.0,100,90,3.11,US,1612630939
nara,34.6851,135.8049,44.01,70,30,3.29,JP,1612630656
najran,17.4924,44.1277,77.0,29,40,9.22,SA,1612630939
sechura,-5.5569,-80.8222,82.04,52,92,6.55,PE,1612630940
grindavik,63.8424,-22.4338,35.6,75,75,17.27,IS,1612630940
bafq,31.6128,55.4107,60.44,29,0,6.87,IR,1612630940
