City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness,Wind Speed (MPH),Country,Date
virginia beach,36.8529,-75.978,53.6,26,20,5.75,US,1612630920
kahului,20.8947,-156.47,62.6,77,40,4.61,US,1612630941
dali,25.7,100.1833,46.42,56,1,5.12,CN,1612630942
fallon,39.4735,-118.7774,37.99,70,20,4.61,US,1612630942
port hedland,-20.3167,118.5667,78.8,78,40,6.91,AU,1612630942
opuwo,-18.0607,13.84,84.09,37,100,5.41,NA,1612630943
bargi,22.9833,79.8667,56.03,37,0,7.29,IN,1612630943
chatellerault,46.8,0.5333,46.99,93,90,11.5,FR,1612630943
kidal,18.4411,1.4078,86.99,12,65,12.21,ML,1612630944
cocorit,27.5833,-109.9667,57.2,51,1,2.62,MX,1612630944
dolores,-36.3132,-57.6792,97.14,15,0,11.03,AR,1612630945
altus,34.6381,-99.334,48.99,66,90,11.5,US,1612630945
pontes e lacerda,-15.2261,-59.3353,90.52,43,28,3.91,BR,1612630848
molchanovo,57.5817,83.7692,33.31,98,100,10.45,RU,1612630946
mahebourg,-20.4081,57.7,78.8,83,20,5.75,MU,1612630946
numata,36.6333,139.05,37.0,68,0,5.01,JP,1612630946
tuatapere,-46.1333,167.6833,51.58,86,1,3.74,NZ,1612630947
gamba,-2.65,10.0,81.23,85,86,8.14,GA,1612630947
sao filipe,14.8961,-24.4956,71.28,70,8,16.2,CV,1612630947
bethel,41.3712,-73.414,39.99,44,1,16.11,US,1612630948
soller,39.7662,2.7152,60.8,82,20,10.36,ES,1612630948
harper,4.375,-7.7169,82.92,75,45,9.33,LR,1612630949
vicuna,-30.0319,-70.7081,64.4,72,90,6.91,CL,1612630949
saskylakh,71.9167,114.0833,-36.08,81,76,5.03,RU,1612630949
longyearbyen,78.2186,15.6401,23.0,74,75,5.75,SJ,1612630889
boke,10.9409,-14.2967,100.54,10,40,9.84,GN,1612630950
batagay-alyta,67.8006,130.4114,-25.31,84,100,1.66,RU,1612630950
portland,45.5234,-122.6762,43.0,81,90,5.75,US,1612630853
papara,-3.9839,-38.7273,87.8,62,40,13.8,BR,1612630951
dingle,10.9995,122.6711,74.98,91,71,8.25,PH,1612630951
luderitz,-26.6481,15.1594,76.1,47,0,29.57,NA,1612630951
yaan,7.3833,8.5667,97.52,10,0,6.22,NG,1612630951
tura,25.5198,90.2201,57.72,70,35,3.69,IN,1612630952
florence,43.7667,11.25,59.0,72,0,1.14,IT,1612630864
alta floresta,-9.8756,-56.0861,76.06,88,100,6.44,BR,1612630952
pozo colorado,-23.4923,-58.7972,89.37,29,0,7.76,PY,1612630953
yinchuan,38.4681,106.2731,32.29,77,0,4.23,CN,1612630953
verkhnyaya inta,65.9811,60.3094,-28.5,85,56,9.19,RU,1612630953
san juan,-31.5375,-68.5364,92.1,21,0,5.59,AR,1612630954
davidson,36.1501,-86.7833,44.6,65,20,4.68,US,1612630954
zalari,53.5584,102.5065,7.3,92,100,5.14,RU,1612630955
igarka,67.4667,86.5833,-15.34,88,99,11.16,RU,1612630955
airai,-8.9266,125.4092,60.89,97,100,2.13,TL,1612630955
bengkulu,-3.8004,102.2655,76.48,82,82,5.48,ID,1612630956
mamallapuram,12.6264,80.1722,73.4,78,20,10.65,IN,1612630956
de aar,-30.6497,24.0123,91.56,11,10,10.27,ZA,1612630956
langsa,4.4683,97.9683,74.77,89,77,2.46,ID,1612630957
tommot,58.9564,126.2925,-19.82,83,100,1.01,RU,1612630957
banda aceh,5.5577,95.3222,78.67,83,46,7.87,ID,1612630682
yar-sale,66.8333,70.8333,-30.8,84,100,13.56,RU,1612630958
grand forks,47.9417,-97.4337,-13.0,58,1,19.57,US,1612630958
urdoma,61.7533,48.5442,-6.05,87,100,11.56,RU,1612630959
biak,-0.9131,122.8766,76.75,78,100,3.04,ID,1612630728
faya,18.3851,42.4509,55.4,76,40,11.5,SA,1612630960
fujin,47.26,132.0322,-10.48,88,3,7.23,CN,1612630960
los llanos de aridane,28.6585,-17.9182,66.2,59,20,20.71,ES,1612630960
kashi,39.4547,75.9797,39.2,45,20,8.95,CN,1612630960
seoul,37.5683,126.9778,46.4,87,75,6.91,KR,1612630845
namatanai,-3.6667,152.4333,79.05,80,79,2.73,PG,1612630961
taitung,22.7583,121.1444,66.51,66,0,5.84,TW,1612630961
saint anthony,45.0205,-93.218,-0.4,60,90,18.41,US,1612630962
nouadhibou,20.931,-17.0347,71.6,49,0,19.57,MR,1612630962
mega,4.05,38.3,68.34,46,57,7.67,ET,1612630963
mehamn,71.0357,27.8492,25.72,94,100,19.71,NO,1612630964
yulara,-25.2406,130.9889,78.8,31,18,8.05,AU,1612630964
samarai,-10.6167,150.6667,82.33,77,100,6.08,PG,1612630965
saint-pierre,-21.3393,55.4781,82.4,74,90,4.61,RE,1612630965
aquiraz,-3.9014,-38.3911,87.8,62,40,13.8,BR,1612630965
vagur,61.4732,-6.8119,37.49,76,100,23.33,FO,1612630965
zeya,53.75,127.2667,-15.5,82,0,3.91,RU,1612630966
rurrenabaque,-14.4413,-67.5278,91.4,62,75,5.57,BO,1612630966
ribeira brava,32.65,-17.0667,60.01,72,43,4.0,PT,1612630967
kamenka,51.3223,42.7678,15.01,83,100,11.65,RU,1612630967
bilibino,68.0546,166.4372,-9.09,83,0,2.8,RU,1612630967
maumere,-8.6199,122.2111,79.11,79,83,2.66,ID,1612630968
bull savanna,17.8868,-77.5902,80.78,66,29,21.92,JM,1612630968
ilulissat,69.2167,-51.1,19.4,38,40,21.85,GL,1612630968
palauig,15.435,119.9045,79.03,74,11,2.28,PH,1612630968
yenangyaung,20.4667,94.8833,70.43,54,47,2.55,MM,1612630969
padang,-0.9492,100.3543,75.2,88,20,2.3,ID,1612630878
sinnamary,5.3833,-52.95,79.99,84,89,15.64,GF,1612630969
norton shores,43.1689,-86.2639,18.0,62,90,13.8,US,1612630970
aranos,-24.1333,19.1167,89.64,21,32,12.57,NA,1612630970
west bay,19.3667,-81.4167,86.0,79,20,13.8,KY,1612630970
bermejo,-32.8833,-68.8,86.0,30,20,8.05,AR,1612630970
fort nelson,58.8053,-122.7002,-36.4,67,20,2.3,CA,1612630971
duldurga,50.6761,113.5931,-6.66,87,47,3.47,RU,1612630972
myaundzha,63.0494,147.1858,-28.55,82,5,0.65,RU,1612630972
udachnyy,66.4167,112.4,-36.09,79,0,4.21,RU,1612630972
yabelo,4.8833,38.0833,70.39,38,67,4.83,ET,1612630973
chambas,22.1928,-78.9136,84.2,74,40,6.91,CU,1612630973
panzhihua,26.5851,101.7128,46.99,50,0,0.78,CN,1612630973
homer,59.6425,-151.5483,35.6,75,20,4.61,US,1612630974
pedra azul,-16.0053,-41.2972,81.0,69,96,4.12,BR,1612630974
popondetta,-8.7537,148.2534,74.64,92,100,2.53,PG,1612630974
kavali,14.9167,79.9833,72.61,67,1,8.23,IN,1612630974
balsas,-7.5325,-46.0356,78.84,77,100,2.57,BR,1612630975
constantine,36.365,6.6147,71.6,17,2,20.71,DZ,1612630709
sovetskiy,61.3614,63.5842,-3.78,92,100,12.24,RU,1612630767
taksimo,56.3444,114.8794,-10.39,78,97,1.99,RU,1612630976
maniitsoq,65.4167,-52.9,24.93,78,0,11.88,GL,1612630747
mabiton,12.8334,123.2612,78.22,84,12,10.49,PH,1612630976
matagami,49.7502,-77.6328,14.0,79,90,9.22,CA,1612630976
lavrentiya,65.5833,-171.0,-4.02,82,81,6.15,RU,1612630977
pedernales,18.0384,-71.744,86.18,53,38,9.22,DO,1612630978
mangrol,21.1167,70.1167,70.47,48,0,6.29,IN,1612630978
ust-maya,60.4167,134.5333,-26.45,85,100,1.36,RU,1612630978
gizo,-8.103,156.8419,82.13,78,75,13.65,SB,1612630978
hukuntsi,-24.0,21.75,77.94,61,12,13.29,BW,1612630979
flin flon,54.7682,-101.865,-29.2,62,1,11.5,CA,1612630979
fairbanks,64.8378,-147.7164,-9.4,77,90,1.01,US,1612630682
george,-33.963,22.4617,73.4,73,40,10.36,ZA,1612630980
omsukchan,62.5333,155.8,-14.3,87,86,0.92,RU,1612630980
sindor,62.8629,51.8905,-9.15,86,100,12.48,RU,1612630980
lakota,5.8528,-5.6883,91.15,47,78,2.15,CI,1612630980
lingyuan,41.24,119.4011,15.62,91,69,4.88,CN,1612630981
mae ramat,16.984,98.5166,71.1,60,1,0.83,TH,1612630981
oranjemund,-28.55,16.4333,67.35,81,0,18.99,NA,1612630982
chandler,33.3062,-111.8412,61.0,41,0,1.01,US,1612630893
lerwick,60.1545,-1.1494,35.6,51,90,20.71,GB,1612630982
nanning,22.8167,108.3167,59.0,88,0,2.24,CN,1612630982
pemba,-12.974,40.5178,84.2,84,75,10.36,MZ,1612630983
yerbogachen,61.2767,108.0108,-11.97,90,89,3.2,RU,1612630983
tara,56.8944,74.371,32.76,96,100,14.74,RU,1612630983
kirovohrad,48.5132,32.2597,22.14,92,89,5.82,UA,1612630984
tahe,52.3333,124.7333,-15.36,87,54,3.27,CN,1612630984
axim,4.8699,-2.2405,82.87,77,19,9.82,GH,1612630984
anisoc,1.8658,10.7689,75.83,87,3,4.65,GQ,1612630984
meulaboh,4.1363,96.1285,79.48,81,63,3.36,ID,1612630985
talnakh,69.4865,88.3972,-29.07,76,0,3.47,RU,1612630985
kipini,-2.5257,40.5262,80.6,78,20,9.22,KE,1612630985
adrar,20.5022,-10.0711,70.57,23,43,14.97,MR,1612630986
toamasina,-18.1667,49.3833,82.4,89,20,8.05,MG,1612630986
kieta,-6.2167,155.6333,80.01,79,92,7.83,PG,1612630987
kailua,21.4022,-157.7394,64.4,82,20,3.8,US,1612630987
midland,31.9974,-102.0779,59.0,18,1,18.41,US,1612630987
inuvik,68.3499,-133.7218,-20.2,69,100,3.44,CA,1612630988
katsuura,35.1333,140.3,48.0,87,20,11.5,JP,1612630988
vanimo,-2.6741,141.3028,77.07,85,99,4.29,PG,1612630872
wabana,47.6332,-52.9481,37.4,81,90,5.75,CA,1612630989
parauna,-16.9478,-50.4486,81.18,75,61,2.59,BR,1612630989
porto novo,6.4965,2.6036,89.6,70,40,12.66,BJ,1612630989
quatre cocos,-20.2078,57.7625,80.01,83,20,5.75,MU,1612630990
chancay,-11.5714,-77.2672,77.0,78,0,8.05,PE,1612630990
san javier,37.8063,-0.8374,63.0,63,0,16.11,ES,1612630990
santa,17.486,120.4348,75.52,75,0,4.27,PH,1612630991
awjilah,29.1081,21.2869,66.04,30,49,6.67,LY,1612630991
mao,39.8885,4.2658,59.0,88,0,10.36,ES,1612630991
qaqortoq,60.7167,-46.0333,33.8,25,1,24.16,GL,1612630992
vila velha,-20.3297,-40.2925,84.99,74,20,14.97,BR,1612630839
belmonte,-15.8631,-38.8828,84.2,79,75,11.5,BR,1612630992
murbad,19.25,73.4,80.6,39,0,9.22,IN,1612630992
van buren,35.4368,-94.3483,48.0,53,90,12.66,US,1612630993
talara,-4.5772,-81.2719,79.59,62,56,14.67,PE,1612630993
shingu,33.7333,135.9833,45.0,78,0,6.46,JP,1612630993
chiajna,44.46,25.9733,39.2,93,90,8.05,RO,1612630743
zarubino,42.63,131.0922,18.93,94,98,10.69,RU,1612630994
oussouye,12.485,-16.5469,78.8,47,0,13.8,SN,1612630994
eyl,7.9803,49.8164,75.87,81,0,15.86,SO,1612630994
tecoanapa,16.5167,-98.75,82.71,59,74,7.09,MX,1612630995
urengoy,65.9667,78.3667,-12.91,89,100,12.28,RU,1612630995
praia,14.9215,-23.5087,73.4,56,75,26.46,CV,1612630995
chapais,49.7834,-74.8492,17.6,67,20,12.66,CA,1612630961
katherine,-14.4667,132.2667,77.0,88,75,5.75,AU,1612630996
mirabad,30.4362,61.8383,56.35,27,0,5.32,AF,1612630996
jatai,-17.8814,-51.7144,81.37,69,71,8.34,BR,1612630996
balabac,7.9868,117.0645,80.1,83,100,14.12,PH,1612630997
gueugnon,46.6036,4.0629,48.99,93,0,4.61,FR,1612630997
monrovia,6.3005,-10.7969,80.6,78,75,3.44,LR,1612630997
pangnirtung,66.1451,-65.7125,15.8,79,75,8.05,CA,1612630998
sao pedro,-22.5486,-47.9139,82.09,53,34,6.89,BR,1612630998
korla,41.7597,86.1469,29.01,84,63,2.62,CN,1612630998
mawlaik,23.6333,94.4167,63.16,49,2,1.77,MM,1612630999
paamiut,61.994,-49.6678,23.04,81,0,7.18,GL,1612630989
zlobin,45.2924,14.6541,55.99,82,90,2.3,HR,1612630999
barra patuca,15.8,-84.2833,83.84,68,44,9.8,HN,1612631000
chivilcoy,-34.8957,-60.0167,90.0,69,0,3.0,AR,1612631000
bom jardim,-7.7958,-35.5872,93.94,29,40,12.1,BR,1612631000
tygda,53.1167,126.3333,-18.33,84,0,4.45,RU,1612631001
arroio grande,-32.2375,-53.0869,80.06,52,0,8.21,BR,1612631001
alice springs,-23.7,133.8833,75.2,33,42,5.75,AU,1612631001
kupang,-10.1667,123.5833,79.43,83,95,7.85,ID,1612631002
pangkalanbuun,-2.6833,111.6167,75.18,97,100,3.0,ID,1612631002
antsohihy,-14.8796,47.9875,77.04,89,100,2.89,MG,1612631003
camapua,-19.5314,-54.0439,83.84,49,30,5.99,BR,1612631003
korgen,66.0771,13.8153,10.0,85,0,5.75,NO,1612631003
sarangani,5.4033,125.4636,82.54,71,100,6.69,PH,1612631003
malpur,23.35,73.45,63.61,29,0,8.57,IN,1612631004
ust-kuyga,70.0167,135.6,-27.26,83,100,3.04,RU,1612631004
haines junction,60.7522,-137.5108,-27.4,68,89,0.67,CA,1612631004
ostrovnoy,68.0531,39.5131,13.6,94,100,12.39,RU,1612631005
nome,64.5011,-165.4064,15.8,79,90,2.77,US,1612631005
carmen,18.6333,-91.8333,77.0,73,1,9.22,MX,1612630930
beira,-19.8436,34.8389,86.0,74,75,9.22,MZ,1612631005
llanes,43.4198,-4.7549,48.99,98,100,1.01,ES,1612631006
hirado,33.3597,129.5531,46.0,58,34,1.99,JP,1612631006
hobyo,5.3505,48.5268,77.99,72,2,12.86,SO,1612631006
shelburne,44.0787,-80.2041,18.0,85,95,22.06,CA,1612631007
broome,42.2506,-75.833,28.4,43,1,13.8,US,1612631007
south lake tahoe,38.9332,-119.9844,37.99,73,1,4.61,US,1612631008
mahanoro,-19.9,48.8,80.89,80,97,10.33,MG,1612631008
antananarivo,-18.9137,47.5361,68.0,88,75,5.75,MG,1612631008
palmer,42.1584,-72.3287,39.99,41,40,25.32,US,1612631009
bajil,15.0584,43.2851,74.91,68,7,7.9,YE,1612631009
muroto,33.2833,134.15,53.35,70,0,5.26,JP,1612631009
gravdal,68.1214,13.5031,32.74,89,81,20.94,NO,1612631009
rudnogorsk,57.2639,103.7519,5.09,96,100,3.85,RU,1612631010
hirara,24.8,125.2833,70.02,65,0,7.29,JP,1612631010
havoysund,70.9963,24.6622,24.8,74,40,14.97,NO,1612631010
cullinan,-25.6709,28.5236,70.0,92,100,5.01,ZA,1612631011
prince rupert,54.3161,-130.3201,37.4,87,90,5.75,CA,1612631011
tezu,27.9167,96.1667,61.38,31,5,3.87,IN,1612631011
jiazi,22.8779,116.067,63.82,76,0,4.81,CN,1612631012
komsomolskiy,40.4272,71.7189,42.8,52,100,4.61,UZ,1612631012
la rioja,42.25,-2.5,46.4,87,90,10.36,ES,1612631012
ust-karsk,52.7011,118.8077,-15.54,84,1,1.43,RU,1612631012
hojai,26.0,92.8667,61.88,62,4,2.82,IN,1612631013
mount gambier,-37.8333,140.7667,57.2,88,90,8.05,AU,1612631013
zambezi,-13.5432,23.1047,73.8,81,74,2.44,ZM,1612631013
svetlyy,54.675,20.1347,8.6,92,40,6.71,RU,1612631014
upata,8.0086,-62.3989,87.44,41,100,6.64,VE,1612631014
bethanien,-26.502,17.1583,93.81,10,0,23.6,NA,1612631014
turukhansk,65.8167,87.9833,-5.75,91,100,17.05,RU,1612631015
macapa,0.0389,-51.0664,91.4,66,40,9.22,BR,1612630990
dedovichi,57.5517,29.9502,5.27,94,98,9.01,RU,1612631015
bazaliya,49.7127,26.4733,25.41,83,97,7.9,UA,1612631016
kamaishi,39.2667,141.8833,40.12,84,83,4.25,JP,1612631016
inta,66.0317,60.1659,-29.09,84,70,11.77,RU,1612631016
arua,3.0201,30.9111,75.85,24,13,5.82,UG,1612630763
shiraz,29.6036,52.5388,55.4,41,75,4.61,IR,1612631017
merauke,-8.4667,140.3333,80.11,84,100,15.21,ID,1612631017
wilmington,34.2257,-77.9447,50.0,53,40,8.05,US,1612630815
barkly west,-28.5354,24.5215,82.4,54,0,5.75,ZA,1612631018
telciu,47.4333,24.4,40.62,86,100,0.76,RO,1612631018
guangyuan,32.442,105.823,49.59,50,75,2.28,CN,1612631019
ios,36.7333,25.2833,61.0,94,0,10.36,GR,1612631019
southbridge,42.0751,-72.0334,37.0,49,60,1.99,US,1612631019
kulhudhuffushi,6.6221,73.07,82.13,74,50,9.78,MV,1612631019
gunnedah,-30.9833,150.25,69.01,98,89,2.24,AU,1612631020
hami,42.8,93.45,31.8,80,100,4.0,CN,1612631020
tongliao,43.6125,122.2653,3.52,89,9,7.76,CN,1612631020
bambanglipuro,-7.95,110.2833,77.72,85,100,3.13,ID,1612630990
kremenchuk,49.0973,33.4197,23.9,90,68,8.5,UA,1612631021
slave lake,55.2834,-114.769,-25.6,75,40,5.75,CA,1612631022
jiayuguan,39.8167,98.3,27.48,69,13,1.19,CN,1612631022
tarauaca,-8.1614,-70.7656,88.45,59,86,3.11,BR,1612631022
beloha,-25.1667,45.05,78.91,78,8,7.02,MG,1612631022
tuy hoa,13.0833,109.3,71.33,87,96,5.82,VN,1612631023
fayetteville,35.0527,-78.8784,53.01,40,20,5.75,US,1612630910
port augusta,-32.5,137.7667,64.4,88,90,13.8,AU,1612631023
puerto narino,-3.7703,-70.3831,86.0,74,75,2.3,CO,1612631024
sabha,27.0377,14.4283,68.72,22,43,6.96,LY,1612631024
ercis,39.0287,43.3586,30.2,86,20,1.14,TR,1612631024
howard springs,-12.497,131.047,82.4,83,40,11.5,AU,1612631025
finnsnes,69.2296,17.9811,23.0,86,75,9.22,NO,1612631025
shenjiamen,29.9576,122.298,49.68,81,2,2.42,CN,1612631025
goderich,43.7501,-81.7165,17.6,67,100,24.16,CA,1612631025
kavieng,-2.5744,150.7967,81.82,71,96,2.51,PG,1612631026
kavaratti,10.5669,72.642,81.21,66,0,10.0,IN,1612631026
umm lajj,25.0213,37.2685,72.79,56,0,17.2,SA,1612631027
cobija,-11.0267,-68.7692,80.6,83,75,4.61,BO,1612631027
bunia,1.5667,30.25,71.98,33,4,1.79,CD,1612631027
uitenhage,-33.7576,25.3971,73.4,83,75,14.97,ZA,1612631027
sitka,57.0531,-135.33,35.6,93,90,12.66,US,1612630870
nizwa,22.9333,57.5333,61.03,33,0,6.53,OM,1612631028
ulagan,50.6321,87.9563,13.14,85,4,3.36,RU,1612631029
xiaoweizhai,26.1903,107.5125,54.1,75,0,3.18,CN,1612631029
pyapon,16.2833,95.6833,72.73,75,0,7.47,MM,1612631029
bonfim,3.0833,-59.95,91.92,41,81,10.78,BR,1612631029
lompoc,34.6391,-120.4579,55.0,76,1,5.75,US,1612631030
wewak,-3.5534,143.6268,78.57,83,99,4.61,PG,1612631028
el tigre,8.8875,-64.2454,87.39,42,100,11.63,VE,1612631030
klaksvik,62.2266,-6.589,35.6,64,40,20.71,FO,1612631030
havre-saint-pierre,50.2334,-63.5986,32.0,93,90,13.8,CA,1612631031
gat,31.61,34.7642,63.0,100,17,3.36,IL,1612631031
mahajanga,-15.7167,46.3167,82.4,74,40,5.75,MG,1612631031
roros,62.5747,11.3842,-4.0,84,0,2.3,NO,1612630988
liliani,32.2065,72.9537,54.45,46,0,3.04,PK,1612631032
madang,-5.2246,145.7966,76.33,91,100,9.78,PG,1612631032
anna,51.4842,40.4299,7.14,94,100,10.11,RU,1612630954
makakilo city,21.3469,-158.0858,62.6,82,75,3.44,US,1612630902
marzuq,14.4,46.4667,60.89,74,0,6.64,YE,1612631033
wamba,8.9333,8.6,94.86,11,73,5.53,NG,1612631033
conde,-7.2597,-34.9075,89.6,58,40,10.36,BR,1612631034
ginda,30.6945,78.4932,37.87,57,0,7.07,IN,1612631034
bayan,46.0833,127.4,-11.69,88,0,3.69,CN,1612631034
santa marta,11.2408,-74.199,89.01,60,90,1.01,CO,1612630949
basqal,40.7552,48.391,42.8,75,40,9.22,AZ,1612631035
maragogi,-9.0122,-35.2225,85.42,62,47,14.47,BR,1612631035
acapulco,16.8634,-99.8901,84.2,65,20,5.75,MX,1612631035
san matias,-16.3667,-58.4,93.25,31,45,6.46,BO,1612631036
bubaque,11.2833,-15.8333,79.63,59,23,16.37,GW,1612631036
mattoon,39.4831,-88.3728,25.0,58,1,5.75,US,1612631036
talcahuano,-36.7167,-73.1167,60.8,82,90,4.61,CL,1612630789
bandarbeyla,9.4942,50.8122,76.93,78,15,13.29,SO,1612631037
mandali,33.7499,45.5541,56.64,84,100,7.25,IQ,1612631037
